city,country,date,max_temp,cloudiness,humidity,wind_speed,lat,lng
Abalak,RU,1600396250,46.6,100,91,10.51,58.13,68.59
Abhā,SA,1600396133,64.4,54,22,4.99,18.22,42.51
Acaraú,BR,1600396128,77.45,0,84,14.09,-2.89,-40.12
Adrar,MR,1600396127,91.35,0,14,9.22,20.5,-10.07
Ahipara,NZ,1600395993,56.8,100,86,14.58,-35.17,173.17
Ahtopol,BG,1600396138,64.99,99,88,6.93,42.1,27.95
Airai,TL,1600396130,79.32,4,39,3.33,-8.93,125.41
Ajdabiya,LY,1600396185,71.11,0,86,5.3,30.76,20.23
Aklavik,CA,1600396159,51.8,75,66,6.93,68.22,-135.01
Aksu,CN,1600396224,75.29,28,19,4.45,41.12,80.26
Aktau,KZ,1600396253,48.2,18,66,11.18,43.65,51.2
Albany,US,1600395946,57.99,100,95,4.32,42.6,-73.97
Alekseyevka,RU,1600396222,53.83,48,78,8.34,50.63,38.69
Alexandria,EG,1600396193,78.8,0,78,4.7,31.22,29.96
Alice Town,BS,1600396251,83.59,98,78,9.33,25.72,-79.3
Alofi,NU,1600396171,75.2,75,88,16.11,-19.06,-169.92
Aloleng,PH,1600396195,84.88,3,70,8.97,16.13,119.78
Altay,CN,1600396263,62.31,100,36,8.7,47.87,88.12
Am Timan,TD,1600396197,73.04,100,93,5.23,11.03,20.28
Ambon City,ID,1600396126,86.0,100,70,5.82,-3.7,128.18
Ambulu,ID,1600396182,84.27,0,59,4.07,-8.35,113.61
Ancud,CL,1600396060,46.99,91,83,1.01,-41.87,-73.82
Andenes,NO,1600396041,44.6,100,100,20.8,69.31,16.12
Andijan,UZ,1600396186,57.2,0,58,2.15,40.78,72.34
Andros Town,BS,1600396132,80.6,40,88,6.13,24.7,-77.77
Angoram,PG,1600396139,91.44,79,54,4.47,-4.06,144.07
Angra dos Reis,BR,1600396154,75.2,75,83,9.17,-23.01,-44.32
Ankazobe,MG,1600396173,48.2,20,93,4.7,-18.32,47.12
Aripuanã,BR,1600396190,78.89,0,46,1.48,-9.17,-60.63
Arona,ES,1600396165,73.99,20,78,8.05,28.1,-16.68
Arraial do Cabo,BR,1600396151,71.6,0,88,9.17,-22.97,-42.03
Arrondissement de Saintes,FR,1600396144,71.6,49,53,5.82,45.67,-0.75
Astoria,US,1600396255,64.0,90,100,4.7,46.19,-123.83
Asău,RO,1600396119,61.0,99,67,18.34,46.43,26.4
Atasū,KZ,1600396181,49.44,72,80,12.95,48.68,71.64
Athabasca,CA,1600396255,50.63,98,75,6.49,54.72,-113.29
Atikokan,CA,1600396180,37.02,0,75,2.89,48.76,-91.62
Atuona,PF,1600396121,77.72,29,77,20.54,-9.8,-139.03
Auki,SB,1600396211,82.44,100,76,7.0,-8.77,160.7
Avarua,CK,1600396125,75.2,89,69,10.29,-21.21,-159.78
Avera,US,1600396187,73.4,90,97,5.82,33.19,-82.53
Ayan,RU,1600396138,51.53,100,78,21.61,56.45,138.17
Bahār,IR,1600396142,51.8,0,43,4.7,34.91,48.44
